sex_F,sex_I,sex_M,length,height,shucked weight,viscera weight,shell weight
0.0,0.0,1.0,0.455,0.095,0.2245,0.101,0.15
0.0,0.0,1.0,0.35,0.09,0.0995,0.0485,0.07
1.0,0.0,0.0,0.53,0.135,0.2565,0.1415,0.21
0.0,0.0,1.0,0.44,0.125,0.2155,0.114,0.155
0.0,1.0,0.0,0.33,0.08,0.0895,0.0395,0.055
0.0,1.0,0.0,0.425,0.095,0.141,0.0775,0.12
1.0,0.0,0.0,0.53,0.15,0.237,0.1415,0.33
1.0,0.0,0.0,0.545,0.125,0.294,0.1495,0.26
0.0,0.0,1.0,0.475,0.125,0.2165,0.1125,0.165
1.0,0.0,0.0,0.55,0.15,0.3145,0.151,0.32
1.0,0.0,0.0,0.525,0.14,0.194,0.1475,0.21
0.0,0.0,1.0,0.43,0.11,0.1675,0.081,0.135
0.0,0.0,1.0,0.49,0.135,0.2175,0.095,0.19
1.0,0.0,0.0,0.535,0.145,0.2725,0.171,0.205
1.0,0.0,0.0,0.47,0.1,0.1675,0.0805,0.185
0.0,0.0,1.0,0.5,0.13,0.258,0.133,0.24
0.0,1.0,0.0,0.355,0.085,0.095,0.0395,0.115
1.0,0.0,0.0,0.44,0.1,0.188,0.087,0.13
0.0,0.0,1.0,0.365,0.08,0.097,0.043,0.1
0.0,0.0,1.0,0.45,0.1,0.1705,0.075,0.115
0.0,0.0,1.0,0.355,0.095,0.0955,0.062,0.075
0.0,1.0,0.0,0.38,0.1,0.08,0.049,0.085
1.0,0.0,0.0,0.565,0.155,0.4275,0.214,0.27
1.0,0.0,0.0,0.55,0.135,0.318,0.21,0.2
1.0,0.0,0.0,0.615,0.165,0.513,0.301,0.305
1.0,0.0,0.0,0.56,0.14,0.3825,0.188,0.3
1.0,0.0,0.0,0.58,0.185,0.3945,0.272,0.285
0.0,0.0,1.0,0.59,0.14,0.356,0.234,0.28
0.0,0.0,1.0,0.605,0.18,0.394,0.219,0.295
0.0,0.0,1.0,0.575,0.14,0.393,0.227,0.2
0.0,0.0,1.0,0.58,0.165,0.3935,0.242,0.33
1.0,0.0,0.0,0.68,0.165,0.6055,0.2805,0.46
0.0,0.0,1.0,0.665,0.165,0.5515,0.3575,0.35
1.0,0.0,0.0,0.68,0.175,0.815,0.3925,0.455
1.0,0.0,0.0,0.705,0.2,0.633,0.4115,0.49
0.0,0.0,1.0,0.465,0.105,0.227,0.124,0.125
1.0,0.0,0.0,0.54,0.155,0.5305,0.3075,0.34
1.0,0.0,0.0,0.45,0.105,0.237,0.1165,0.145
1.0,0.0,0.0,0.575,0.135,0.381,0.2035,0.26
0.0,0.0,1.0,0.355,0.09,0.134,0.086,0.09
1.0,0.0,0.0,0.45,0.105,0.1865,0.091,0.115
1.0,0.0,0.0,0.55,0.135,0.362,0.196,0.27
